"id","annee_sortieID","id_allocine"
"1","32","1628"
"2","67","115362"
"3","53","9393"
"4","53","10126"
"5","62","39187"
"6","29","19395"
"7","58","21189"
"8","53","10568"
"9","39","25802"
"10","69","143692"
"11","61","39186"
"12","36","2072"
"13","49","5969"
"14","58","19776"
"15","77","245046"
"16","50","6641"
"17","14","5762"
"18","54","12837"
"19","77","1453"
"20","57","18598"
"21","61","37485"
"22","58","12475"
"23","73","114782"
"24","59","22779"
"25","24","1603"
"26","14","2645"
"27","70","182745"
"28","10","1832"
"29","40","121"
"30","61","28359"
"31","50","7124"
"32","44","448"
"33","73","225953"
"34","59","24944"
"35","65","108998"
"36","53","10862"
"37","59","25744"
"38","38","27061"
"39","12","2253"
"40","27","680"
"41","73","213698"
"42","55","10251"
"43","35","4499"
"44","72","190918"
"45","39","863"
"46","67","123734"
"47","76","197686"
"48","59","21946"
"49","71","132874"
"50","63","54137"
"51","45","2167"
"52","41","4616"
"53","61","857"
"54","23","980"
"55","23","531"
"56","42","25803"
"57","54","10080"
"58","51","7524"
"59","8","418"
"60","77","252439"
"61","26","4749"
"62","77","105"
"63","43","67"
"64","63","40191"
"65","36","308"
"66","76","42792"
"67","46","2749"
"68","2","5120"
"69","55","14264"
"70","68","176535"
"71","34","33353"
"72","69","126123"
"73","68","60208"
"74","76","240850"
"75","15","2570"
"76","2","2255"
"77","57","363"
"78","72","3243"
"79","2","929"
"80","56","12032"
"81","77","227932"
"82","5","240"
"83","74","231088"
"84","43","33286"
"85","71","190774"
"86","64","51013"
"87","23","26186"
"88","51","7663"
"89","64","58349"
"90","40","950"
"91","55","14046"
"92","59","14824"
"93","77","41569"
"94","34","2604"
"95","65","57689"
"96","61","14790"
"97","75","45970"
"98","25","7545"
"99","69","171223"
"100","74","196960"
"101","20","1627"
"102","77","227079"
"103","57","19298"
"104","55","14178"
"105","41","1975"
"106","39","180"
"107","65","58911"
"108","21","4032"
"109","72","127524"
"110","70","138673"
"111","55","14788"
"112","68","135063"
"113","16","27782"
"114","6","115"
"115","38","29714"
"116","55","14928"
"117","41","1048"
"118","67","110096"
"119","57","16463"
"120","57","17646"
"121","62","29057"
"122","72","986"
"123","67","109788"
"124","28","40646"
"125","14","3984"
"126","77","259498"
"127","72","222528"
"128","76","229490"
"129","6","264"
"130","68","139621"
"131","73","217882"
"132","69","132039"
"133","67","110101"
"134","9","1557"
"135","39","249"
"136","76","225116"
"137","74","221270"
"138","76","223252"
"139","46","29700"
"140","19","2513"
"141","37","46077"
"142","72","195370"
"143","2","1532"
"144","73","207825"
"145","23","62178"
"146","63","55483"
"147","73","196885"
"148","74","125054"
"149","64","56714"
"150","75","222271"
"151","76","702"
"152","31","559"
"153","59","26066"
"154","69","128959"
"155","13","1809"
"156","47","3326"
"157","54","38493"
"158","2","4479"
"159","33","71577"
"160","72","180887"
"161","70","134925"
"162","37","28251"
"163","20","3732"
"164","42","2596"
"165","61","34193"
"166","61","26862"
"167","36","135"
"168","77","88"
"169","44","309"
"170","66","59809"
"171","13","29738"
"172","26","337"
"173","35","12789"
"174","63","51123"
"175","70","176673"
"176","43","263"
"177","77","243823"
"178","59","26389"
"179","60","26602"
"180","70","179349"
"181","28","4397"
"182","57","18671"
"183","22","299"
"184","52","8066"
"185","61","28384"
"186","77","228558"
"187","77","261469"
"188","54","11736"
"189","21","4063"
"190","60","27070"
"191","72","297"
"192","37","25801"
"193","62","45264"
"194","66","127650"
"195","30","2021"
"196","7","2256"
"197","65","55983"
"198","38","62"
"199","17","836"
"200","48","4989"
"201","59","73176"
"202","62","4884"
"203","43","1941"
"204","60","27063"
"205","32","260"
"206","29","27442"
"207","35","248"
"208","2","2252"
"209","48","5032"
"210","2","1596"
"211","65","111471"
"212","68","130368"
"213","47","4019"
"214","2","1826"
"215","26","38827"
"216","3","2260"
"217","21","1602"
"218","21","548"
"219","11","2640"
"220","76","108016"
"221","20","700"
"222","59","22092"
"223","76","88396"
"224","53","9430"
"225","65","40132"
"226","14","1268"
"227","74","215097"
"228","61","25308"
"229","55","29757"
"230","49","5280"
"231","36","1621"
"232","62","46117"
"233","62","35973"
"234","20","983"
"235","52","8488"
"236","62","28541"
"237","13","772"
"238","54","12551"
"239","66","111643"
"240","64","50409"
"241","35","28201"
"242","53","9684"
"243","18","773"
"244","75","228263"
"245","55","13892"
"246","59","26251"
"247","46","2495"
"248","66","108917"
"249","61","43986"
"250","2","37412"
"251","62","52715"
"252","41","29718"
"253","55","15829"
"254","54","13665"
"255","4","89979"
