"id","note_allocine_publicID","id_allocine"
"1","24","1628"
"2","24","115362"
"3","24","9393"
"4","24","10126"
"5","24","39187"
"6","23","19395"
"7","24","21189"
"8","25","10568"
"9","24","25802"
"10","23","143692"
"11","24","39186"
"12","24","2072"
"13","23","5969"
"14","22","19776"
"15","23","6641"
"16","21","5762"
"17","23","12837"
"18","15","1453"
"19","22","18598"
"20","22","37485"
"21","23","12475"
"22","24","114782"
"23","25","22779"
"24","23","1603"
"25","21","2645"
"26","23","182745"
"27","23","1832"
"28","22","121"
"29","22","28359"
"30","21","7124"
"31","23","448"
"32","24","225953"
"33","24","24944"
"34","21","108998"
"35","24","10862"
"36","21","25744"
"37","22","27061"
"38","23","2253"
"39","20","680"
"40","3","213698"
"41","23","10251"
"42","22","4499"
"43","24","190918"
"44","22","863"
"45","22","123734"
"46","16","197686"
"47","21","21946"
"48","22","132874"
"49","21","54137"
"50","20","2167"
"51","13","251273"
"52","19","4616"
"53","22","857"
"54","22","980"
"55","21","531"
"56","23","25803"
"57","21","10080"
"58","23","7524"
"59","21","418"
"60","17","147116"
"61","20","4749"
"62","21","105"
"63","21","67"
"64","21","40191"
"65","22","308"
"66","20","42792"
"67","22","2749"
"68","21","5120"
"69","21","14264"
"70","19","176535"
"71","20","33353"
"72","23","126123"
"73","22","60208"
"74","19","240850"
"75","20","2570"
"76","22","2255"
"77","14","363"
"78","14","3243"
"79","21","929"
"80","19","12032"
"81","21","240"
"82","12","231088"
"83","5","33286"
"84","12","190774"
"85","20","51013"
"86","21","26186"
"87","21","7663"
"88","18","58349"
"89","22","950"
"90","22","14046"
"91","14","14824"
"92","10","41569"
"93","19","2604"
"94","18","57689"
"95","21","14790"
"96","19","45970"
"97","18","7545"
"98","21","171223"
"99","22","196960"
"100","19","1627"
"101","20","19298"
"102","21","14178"
"103","21","1975"
"104","22","180"
"105","20","58911"
"106","17","4032"
"107","21","127524"
"108","23","138673"
"109","20","14788"
"110","24","135063"
"111","18","27782"
"112","21","115"
"113","22","29714"
"114","20","14928"
"115","20","1048"
"116","20","110096"
"117","20","16463"
"118","4","17646"
"119","21","29057"
"120","22","986"
"121","19","109788"
"122","16","40646"
"123","21","2688"
"124","19","3984"
"125","9","109576"
"126","8","222528"
"127","22","229490"
"128","21","264"
"129","21","139621"
"130","22","217882"
"131","22","132039"
"132","22","110101"
"133","20","1557"
"134","19","249"
"135","21","225116"
"136","20","221270"
"137","18","223252"
"138","21","29700"
"139","20","2513"
"140","17","46077"
"141","23","195370"
"142","18","1532"
"143","21","207825"
"144","20","62178"
"145","21","55483"
"146","22","196885"
"147","21","125054"
"148","23","56714"
"149","21","222271"
"150","19","702"
"151","19","559"
"152","19","26066"
"153","22","128959"
"154","18","1809"
"155","16","3326"
"156","16","38493"
"157","21","4479"
"158","21","71577"
"159","23","180887"
"160","22","134925"
"161","18","28251"
"162","21","3732"
"163","20","2596"
"164","19","34193"
"165","21","26862"
"166","22","135"
"167","19","88"
"168","19","309"
"169","20","59809"
"170","17","29738"
"171","18","337"
"172","17","12789"
"173","20","51123"
"174","23","176673"
"175","20","263"
"176","19","26389"
"177","9","126071"
"178","15","234256"
"179","21","26602"
"180","23","179349"
"181","20","4397"
"182","22","18671"
"183","20","299"
"184","18","8066"
"185","18","28384"
"186","24","11736"
"187","24","4063"
"188","24","27070"
"189","2","297"
"190","23","25801"
"191","21","45264"
"192","11","127650"
"193","23","2021"
"194","22","2256"
"195","18","55983"
"196","22","62"
"197","23","836"
"198","19","4989"
"199","22","73176"
"200","19","4884"
"201","24","1941"
"202","17","27063"
"203","21","260"
"204","19","27442"
"205","20","248"
"206","20","2252"
"207","22","5032"
"208","21","1596"
"209","4","111471"
"210","22","130368"
"211","20","7158"
"212","21","4019"
"213","19","1826"
"214","21","38827"
"215","21","2260"
"216","18","1602"
"217","18","548"
"218","20","2640"
"219","21","108016"
"220","21","700"
"221","22","22092"
"222","19","88396"
"223","21","9430"
"224","21","40132"
"225","20","1268"
"226","16","215097"
"227","19","25308"
"228","20","29757"
"229","21","5280"
"230","20","1621"
"231","21","46117"
"232","21","35973"
"233","22","983"
"234","21","8488"
"235","21","28541"
"236","19","89957"
"237","19","772"
"238","20","12551"
"239","21","111643"
"240","22","50409"
"241","23","28201"
"242","22","9684"
"243","19","773"
"244","23","228263"
"245","23","13892"
"246","21","26251"
"247","19","2495"
"248","18","108917"
"249","7","43986"
"250","14","37412"
"251","19","52715"
"252","21","29718"
"253","6","15829"
"254","15","13665"
"255","17","89979"
