"id","annee_sortie","filmID"
"1","1981","1"
"2","1985","2"
"3","1952","3"
"4","2005","4"
"5","1950","5"
"6","1982","7"
"7","1950","9"
"8","1972","10"
"9","2017","11"
"10","2009","12"
"11","1969","15"
"12","1981","18"
"13","1983","19"
"14","1986","21"
"15","1960","24"
"16","1982","25"
"17","1937","26"
"18","1967","29"
"19","1976","30"
"20","1985","33"
"21","1963","34"
"22","1962","35"
"23","1976","39"
"24","1930","41"
"25","2006","45"
"26","1970","48"
"27","1984","49"
"28","1981","53"
"29","1979","54"
"30","1998","57"
"31","1984","58"
"32","0","60"
"33","1980","61"
"34","1984","64"
"35","1984","65"
"36","1985","66"
"37","1930","68"
"38","1961","69"
"39","1981","70"
"40","1985","76"
"41","2006","78"
"42","0","81"
"43","1982","83"
"44","2003","87"
"45","1981","92"
"46","1984","93"
"47","1983","95"
"48","1928","96"
"49","1960","97"
"50","1959","98"
"51","1981","100"
"52","2012","101"
"53","1956","102"
"54","2002","103"
"55","1983","105"
"56","1968","106"
"57","1978","108"
"58","1956","110"
"59","1976","112"
"60","2016","113"
"61","1983","115"
"62","1955","116"
"63","1985","117"
"64","1984","118"
"65","1985","119"
"66","1984","120"
"67","1947","122"
"68","1981","125"
"69","1972","126"
"70","2017","127"
"71","1977","128"
"72","0","130"
"73","1985","132"
"74","1976","133"
"75","2007","134"
"76","1956","135"
"77","0","136"
"78","1985","137"
"79","1985","139"
"80","1983","140"
"81","1980","141"
"82","1972","142"
"83","1985","145"
"84","1985","147"
"85","2016","148"
"86","1985","149"
"87","1980","150"
"88","1945","152"
"89","1978","153"
"90","1984","155"
"91","1983","156"
"92","2003","158"
"93","1951","160"
"94","1977","161"
"95","1962","162"
"96","1973","163"
"97","1985","165"
"98","1983","166"
"99","1974","167"
"100","1984","168"
"101","2017","169"
"102","2002","171"
"103","2015","172"
"104","1975","173"
"105","1962","178"
"106","1984","181"
"107","1962","182"
"108","1952","184"
"109","2008","185"
"110","1976","186"
"111","1984","187"
"112","1979","188"
"113","1976","189"
"114","1966","191"
"115","1963","192"
"116","1927","193"
"117","2012","195"
"118","1978","196"
"119","1979","199"
"120","2016","200"
"121","1975","201"
"122","1980","202"
"123","1981","204"
"124","1985","206"
"125","0","208"
"126","1972","209"
"127","1959","210"
"128","1984","211"
"129","1928","212"
"130","1983","213"
"131","1984","214"
"132","1984","215"
"133","1965","216"
"134","1982","218"
"135","1981","220"
"136","1985","221"
"137","2015","222"
"138","1962","223"
"139","1981","224"
"140","2009","225"
"141","1985","229"
"142","1985","230"
"143","1983","231"
"144","1984","232"
"145","1981","233"
"146","1976","234"
"147","1984","235"
"148","1981","236"
"149","1933","237"
"150","2013","238"
"151","0","239"
"152","1958","240"
"153","1974","241"
"154","1985","242"
"155","1985","243"
"156","1985","244"
"157","1985","247"
"158","1939","248"
"159","1976","249"
"160","1985","250"
"161","1980","252"
"162","1969","253"
"163","1976","254"
"164","0","255"
"165","1969","257"
"166","1947","258"
"167","1974","259"
"168","1983","262"
"169","2017","266"
"170","1944","267"
"171","1985","268"
"172","1985","269"
"173","2017","270"
"174","1968","271"
"175","1985","272"
"176","1963","273"
"177","1937","274"
"178","1984","275"
"179","2016","276"
"180","1950","278"
"181","1950","283"
"182","2006","284"
"183","1947","285"
"184","2015","286"
"185","1950","287"
"186","2014","288"
"187","1951","289"
"188","2014","290"
